Correct,"Correcto"
Incorrect,"Incorrecto"
Inst1text,"Neste teste é-lhe pedido que categorize formas.  Ser-lhe-á mostrado um círculo ou um quadrado (como mostrado em baixo) um de cada vez.  Em cada tentativa, terá apenas de decidir que forma surge no ecrã, e carregar numa de duas teclas.  Quando surgir um círculo, carregue na tecla esquerda de SHIFT.  Quando surgir um quadrado, carregue na tecla direita de SHIFT.   A maioria das vezes, o círculo aparece na parte esquerda do ecrã e o quadrado na direita.  (Carregue em qualquer tecla para continuar.)"
Inst2text,"Por vezes, o círculo aparece à direita e o quadrado à esquerda, tal como mostrado em baixo.  Ignore o lado em que aparece a figura, responda sempre com as mesmas teclas, independentemente do lado em que as figuras surgem.  (Carregue em qualquer tecla para continuar.)"
Inst3text,"Vai começar com uma série de tentativas para praticar.  Nesta fase de treino, depois de cada tentativa, ser-lhe-á dito se a resposta é correcta ou incorrecta, responda tão rapidamente quanto possível mas também o mais correctamente possível.  Lembre-se, use as teclas esquerda e direita de SHIFT para responder.  (Carregue em qualquer tecla para começar.)"
Footerl,"shift-esq: CÍRCULO"
Footerr,"shift-dir: QUADRADO"
Interblock,"As tentativas de prática terminaram. Carregue qualquer tecla para iniciar a próxima série."
Debrief,"Final. Obrigado por participar."
