inst1a,"In this task, you will see a list of "
inst1b,"meaningless syllables.  Afterwards, you will be shown a screen with all of the syllables and be asked to choose the original order.  Choose all syllables, and when you are complete, the computer will determine whether you were correct.  Each list will repeat until you correctly remember the entire list twice in a row.  Once you do this, you will move to the next list.  You will learn a total of ",
inst1c," lists."
inst2a,"Now, we will show you the same lists you just learned.   Try to learn them again."
debrief,"Thank you for participating.  \n\nMean Savings: "
ready,"Ready?"
correct," correct"
