inst1,"In this task, you will be given a series of math problems, involving two numbers and a simple operation.  For each problem, try to solve the problem in your head, as quickly as possible.  Try not to guess, and use your knowledge of mathematics skills and procedures to solve the problems.  Try to respond as quickly and accurately as you can.  Below the problems, there is a red bar indicating the time remaining. Continue working on each set of problems until time has elapsed."
ready,"Get ready for set of math problems.  Hit any key to begin."
counter,"Number completed"
seconds,"seconds"
errors,"mistakes"
continue," Press space bar to continue."
debrief,"Thank you for participating in this study."
correct,"Correct"
incorrect,"Incorrect"
